1144,853
493,26
641,22
728,16
800,16
1053,21
1132,16
1247,16
1510,19
1615,19
1776,16
1840,16
1896,20
1941,40
2120,21
2287,18
50,39
280,24
684,28
827,23
1165,29
1204,28
1225,53
136,32
776,32
1480,40
1548,36
1903,31
312,40
783,39
1429,50
264,48
327,55
872,48
984,48
1590,84
1792,48
352,56
935,60
1010,64
1271,56
1745,74
2103,56
576,64
623,64
673,68
1058,76
1264,63
1381,75
1509,88
1832,64
1992,64
2071,100
2096,68
448,72
613,77
765,77
880,72
2192,72
272,80
908,89
1786,82
2248,80
116,88
564,88
743,94
775,87
1428,88
2221,105
204,105
476,100
597,103
1191,96
1336,100
1560,96
664,104
1040,107
160,112
438,115
1184,124
1296,116
1716,121
1747,142
1856,112
2101,117
135,120
848,120
1120,120
528,136
992,128
1156,128
1335,128
1864,128
1895,128
128,136
480,136
1323,147
112,159
956,144
1170,151
1364,148
1663,144
1894,164
2119,148
692,166
1120,152
1484,161
1644,152
1703,167
1828,156
2285,154
352,160
652,160
847,168
1375,159
1512,164
1632,159
2112,159
2188,168
592,174
912,168
1806,219
2298,167
368,176
402,196
544,184
1112,180
1256,176
2166,196
269,189
1168,184
2048,184
232,206
711,191
788,192
24,200
328,200
944,212
1256,204
1532,200
1931,199
1336,208
1832,208
792,216
1392,216
1480,216
432,224
689,241
755,229
1031,228
1114,236
32,236
247,235
542,238
953,242
1298,244
1352,232
1487,231
2102,277
793,249
1024,243
112,248
136,252
642,255
880,256
69,262
226,261
290,261
494,265
840,260
912,256
1600,256
2261,272
1416,264
1635,271
346,282
952,272
1096,276
1340,272
744,292
776,280
927,284
1032,280
1056,280
1484,317
1516,288
1608,291
306,298
803,300
876,296
906,315
1226,314
1933,301
2160,296
376,312
765,324
841,320
1059,322
1152,316
184,320
497,328
552,320
606,341
1112,320
1440,324
1544,320
248,328
572,328
720,336
1345,336
1765,337
376,336
463,336
440,350
1536,344
1576,358
244,352
1031,352
1192,352
1420,361
2120,361
263,359
688,368
735,359
864,364
896,364
1024,359
1294,373
2002,365
192,368
291,374
1480,371
1848,368
2022,391
48,376
124,382
760,376
1376,376
2176,376
2268,376
264,384
709,408
960,388
1012,394
1200,384
1520,384
824,392
1128,392
480,400
854,406
904,400
1162,405
1328,408
232,408
312,412
1522,410
2190,416
538,419
963,422
1268,430
1592,416
1870,426
1984,416
71,424
383,435
1335,423
216,436
476,440
604,432
992,432
1135,432
56,439
757,445
852,440
1520,462
2260,456
2296,442
111,448
656,448
680,448
971,468
1007,451
1128,452
1243,458
1361,455
104,456
268,464
